,niche1,niche2,niche3,niche4,niche5,niche6,niche9,niche10
0,0.0256632,0.41086462,0.010060424,0.0014872387,0.4802514,0.0684513,0.00073376216,0.0024880518
1,0.041821323,0.3825666,0.013172229,0.003202437,0.4700365,0.08070831,0.0011628234,0.0073296926
2,0.030545674,0.399343,0.01419078,0.0023127375,0.47112402,0.07784723,0.0013166702,0.0033199785
3,0.040684316,0.38388258,0.011871852,0.0028720198,0.47469163,0.0779556,0.0009666559,0.007075391
4,0.053801365,0.36750737,0.013476271,0.0044262125,0.46188223,0.08437251,0.0012215339,0.0133125605
5,0.032685913,0.39739567,0.008866792,0.0018058856,0.48501337,0.069042146,0.0005857364,0.00460449
6,0.035763077,0.39179483,0.016249042,0.003087761,0.46336213,0.08335235,0.0016817014,0.0047091357
7,0.049937848,0.37214428,0.015169963,0.0044118026,0.45943618,0.086539164,0.0015044252,0.010856413
8,0.049178783,0.37363213,0.014802976,0.004261761,0.46033058,0.08579621,0.0014431025,0.010554465
9,0.043952383,0.3791934,0.016089395,0.003933279,0.46119392,0.08614935,0.0016606778,0.007827677
10,0.03421973,0.39480647,0.008593183,0.0018642659,0.48580092,0.06896424,0.0005560714,0.0051951394
11,0.04178754,0.38296333,0.011113696,0.0028321024,0.4759211,0.07682108,0.0008657551,0.0076954095
12,0.038822204,0.38806152,0.010575348,0.00250875,0.47776726,0.07489752,0.000797354,0.006570083
13,0.03951653,0.38714835,0.013639813,0.0030748206,0.46822014,0.08078572,0.0012464918,0.006368158
14,0.049408667,0.3701571,0.019260075,0.0051516634,0.45163885,0.09227876,0.0022709393,0.009833936
15,0.04201189,0.3841612,0.011145205,0.002869027,0.47405297,0.07703833,0.0008784934,0.007842882
16,0.04440944,0.38186285,0.009272731,0.002694877,0.47820598,0.073535785,0.0006415503,0.009376816
17,0.05603783,0.36709628,0.012271024,0.0043727984,0.46142942,0.08260488,0.0010539282,0.015133902
18,0.04981316,0.3725989,0.01486193,0.0043452852,0.4599869,0.08601023,0.0014594505,0.010924199
19,0.04122889,0.38606295,0.011147186,0.0028174967,0.47340932,0.076889805,0.00088477356,0.007559571
20,0.043937404,0.38356563,0.010376426,0.0028950854,0.47344366,0.07603354,0.0007859828,0.008962268
21,0.05494586,0.3675712,0.014528705,0.004831785,0.4561525,0.08662701,0.0014192801,0.013923671
22,0.04643274,0.37529692,0.01821866,0.0046031456,0.45470515,0.09002638,0.0020708388,0.008646246
23,0.04438793,0.3824794,0.009014056,0.002645615,0.47844517,0.0729315,0.00061403314,0.009482326
24,0.045348186,0.37838545,0.012745463,0.0034572494,0.46887347,0.08101721,0.0011074793,0.009065382
25,0.050056208,0.37364265,0.013810859,0.004156068,0.46145847,0.08425863,0.0012963385,0.0113208275
26,0.054642215,0.36991495,0.008407076,0.0032224648,0.47422084,0.07343635,0.00054848887,0.015607619
27,0.06032555,0.36067048,0.012897479,0.004952437,0.45768714,0.08450099,0.0011514722,0.01781447
28,0.06277926,0.35378414,0.018043915,0.0066171247,0.4451803,0.09360842,0.0020555097,0.01793134
29,0.047048416,0.3695156,0.027069187,0.0062038493,0.43790317,0.10040918,0.004125482,0.007725135
30,0.04508998,0.37503308,0.021036271,0.0049113794,0.45050982,0.093136,0.00264862,0.007634834
31,0.04408553,0.37633124,0.02337293,0.0051644617,0.4453208,0.09557699,0.003197038,0.0069510974
32,0.04462669,0.3705007,0.034064956,0.0069380295,0.42548862,0.105829455,0.006247264,0.006304199
33,0.03997598,0.3671025,0.04593923,0.0076113786,0.41334456,0.11135733,0.010362386,0.0043065967
34,0.053179447,0.35792294,0.032975685,0.008374268,0.4238953,0.10785745,0.0058942013,0.009900733
35,0.046820804,0.36928478,0.029019589,0.006505694,0.4339475,0.10226655,0.004673994,0.007481037
36,0.033894215,0.35389835,0.071348205,0.0089375535,0.38841766,0.11838485,0.022690099,0.0024290401
37,0.037496846,0.33750305,0.082841784,0.011455988,0.37403792,0.12380013,0.02986775,0.002996555
38,0.03767438,0.27349907,0.13887584,0.019147871,0.31459323,0.13084373,0.08264607,0.0027198058
39,0.04592089,0.2655531,0.13787284,0.024262944,0.30508658,0.13486946,0.08178034,0.0046538026
40,0.036285173,0.2609713,0.14862524,0.019842712,0.30654636,0.12991299,0.0953721,0.0024441208
41,0.03380321,0.28182632,0.13572423,0.016256554,0.32402098,0.12840104,0.07793255,0.002035163
42,0.02910896,0.24689075,0.16231437,0.017261667,0.30063182,0.12494047,0.11748093,0.0013709456
43,0.03953353,0.14785461,0.20552893,0.03903714,0.21610112,0.1209616,0.22713545,0.0038476717
44,0.034752022,0.16207339,0.20307192,0.031267837,0.23429798,0.121085264,0.21090332,0.002548334
45,0.03575947,0.15183614,0.20663305,0.034121204,0.22351426,0.11987236,0.2253911,0.002872376
46,0.040246174,0.13987094,0.20849238,0.04127459,0.20937008,0.11975742,0.23683092,0.00415744
47,0.034434047,0.10766237,0.22416705,0.04194184,0.1804349,0.10947585,0.29864445,0.00323948
