,stroma,plasmablast-enriched stroma,lymphoid structure,tumor-stroma boundary,myeloid-enriched stroma,tumor interior
0,0.07765583,0.31560543,0.08392849,0.13474292,0.097499125,0.29056817
1,0.078866884,0.29977292,0.096247874,0.13355088,0.08851812,0.30304334
2,0.07878172,0.24903294,0.09553323,0.13758792,0.07986652,0.35919765
3,0.063474804,0.23513523,0.08139139,0.12765205,0.09097499,0.40137154
4,0.07602246,0.20809144,0.06840387,0.14544639,0.069053434,0.43298244
5,0.067190066,0.16590689,0.09474328,0.1294878,0.085292675,0.4573793
6,0.09395723,0.234378,0.06882368,0.16003467,0.06424018,0.37856615
7,0.10660274,0.23954746,0.04342868,0.18288545,0.0420497,0.38548595
8,0.11764384,0.29089147,0.055622302,0.18076867,0.042800818,0.31227288
9,0.07262653,0.22226085,0.06381507,0.1422502,0.114293985,0.38475335
10,0.1290338,0.26608086,0.06545824,0.18456498,0.05065833,0.30420378
11,0.14049348,0.3457546,0.0565818,0.18351662,0.0781037,0.19554985
12,0.11368859,0.3883745,0.054549593,0.15916221,0.1290247,0.15520045
13,0.09345479,0.32417452,0.08156537,0.14308862,0.14187652,0.21584019
14,0.09641065,0.2818891,0.088208586,0.13759188,0.21334137,0.18255836
15,0.0980078,0.25287083,0.12245102,0.13075313,0.20490214,0.19101511
16,0.11639001,0.28701955,0.13736084,0.12525412,0.20158419,0.1323913
17,0.21808986,0.3149362,0.15237062,0.14580499,0.0791071,0.0896913
18,0.1599116,0.307581,0.15169655,0.13546471,0.13598676,0.109359324
19,0.24486303,0.26426527,0.20238492,0.11862517,0.107069924,0.06279169
20,0.13755244,0.3126922,0.21269612,0.09734541,0.16833963,0.071374156
21,0.17860329,0.35713056,0.23336905,0.086546004,0.10026189,0.044089243
22,0.15601814,0.38578713,0.22227673,0.073606886,0.12885211,0.033458985
23,0.14371312,0.41194892,0.25007778,0.07220238,0.08478153,0.037276227
24,0.1176319,0.34623936,0.30198675,0.0613162,0.13590139,0.036924303
