,stroma,plasmablast-enriched stroma,lymphoid structure,tumor-stroma boundary,myeloid-enriched stroma,tumor interior
0,0.15432099,0.2037037,0.049382716,0.23148148,0.0,0.3611111
1,0.16225165,0.24503312,0.052980132,0.15562914,0.0,0.38410595
2,0.17266187,0.23021583,0.08273381,0.07913669,0.0,0.4352518
3,0.1977612,0.1977612,0.0858209,0.08955224,0.0,0.42910448
4,0.13636364,0.20454545,0.08712121,0.12878788,0.0,0.4431818
5,0.13651878,0.19453925,0.061433446,0.15017065,0.0,0.4573379
6,0.15483871,0.21612903,0.061290324,0.14516129,0.0,0.42258066
7,0.17064847,0.221843,0.037542664,0.09556314,0.0,0.47440273
8,0.21428572,0.24675325,0.016233766,0.077922076,0.0,0.4448052
9,0.25080386,0.1800643,0.025723472,0.15755627,0.0,0.3858521
10,0.28975266,0.21201414,0.03180212,0.18727915,0.0,0.27915195
11,0.25233644,0.2554517,0.018691588,0.24299066,0.009345794,0.2211838
12,0.23509933,0.33443707,0.013245033,0.16225165,0.03311258,0.2218543
13,0.2278481,0.36708862,0.012658228,0.15506329,0.03797468,0.19936709
14,0.21296297,0.3888889,0.043209877,0.11111111,0.043209877,0.20061728
15,0.22535211,0.34929577,0.09577465,0.14366198,0.03943662,0.14647888
16,0.2542373,0.3983051,0.11016949,0.12429378,0.028248588,0.084745765
17,0.2593583,0.40374333,0.13636364,0.101604275,0.04812834,0.050802138
18,0.224,0.34133333,0.144,0.11733333,0.09066667,0.082666665
19,0.21489972,0.3581662,0.1661891,0.08882522,0.11747851,0.054441262
20,0.17941177,0.3970588,0.16764706,0.13529412,0.105882354,0.014705882
21,0.30532214,0.35854343,0.16806723,0.1092437,0.05882353,0.0
22,0.22404371,0.5027322,0.13934426,0.06557377,0.068306014,0.0
23,0.1521739,0.51086956,0.2581522,0.04076087,0.038043477,0.0
24,0.10526316,0.56786704,0.26592797,0.03601108,0.024930747,0.0
25,0.0877193,0.57894737,0.25438598,0.02631579,0.05263158,0.0
26,0.12073491,0.55380577,0.24934383,0.047244094,0.028871391,0.0
27,0.15926893,0.5195823,0.2610966,0.04699739,0.010443864,0.002610966
28,0.14565827,0.50700283,0.28851542,0.025210084,0.033613447,0.0
29,0.19602273,0.48011363,0.2869318,0.022727273,0.014204546,0.0
30,0.26404494,0.47191012,0.24157304,0.011235955,0.011235955,0.0
31,0.25287357,0.43103448,0.25862068,0.020114943,0.03735632,0.0
32,0.30952382,0.4434524,0.17857143,0.017857144,0.05059524,0.0
33,0.36898395,0.4331551,0.14973262,0.013368984,0.034759358,0.0
34,0.3505747,0.38505748,0.23275863,0.011494253,0.020114943,0.0
35,0.30494505,0.29945055,0.3598901,0.013736264,0.021978023,0.0
36,0.33241758,0.18131869,0.46153846,0.024725275,0.0,0.0
37,0.32216495,0.11082474,0.5051546,0.06185567,0.0,0.0
38,0.28132993,0.15856777,0.4859335,0.0741688,0.0,0.0
39,0.2811736,0.16625917,0.47432762,0.07823961,0.0,0.0
40,0.31764707,0.20705882,0.4164706,0.05882353,0.0,0.0
41,0.28455284,0.2303523,0.4200542,0.06504065,0.0,0.0
42,0.30183727,0.2624672,0.40419948,0.031496063,0.0,0.0
43,0.30569947,0.30051813,0.35751295,0.03626943,0.0,0.0
44,0.3160763,0.29155314,0.28337875,0.108991824,0.0,0.0
45,0.3260188,0.28213167,0.28840125,0.10344828,0.0,0.0
46,0.45016077,0.24758843,0.18649517,0.115755625,0.0,0.0
47,0.53376204,0.13826367,0.10932476,0.21864952,0.0,0.0
48,0.45962733,0.14596273,0.096273296,0.29813665,0.0,0.0
49,0.37671232,0.1780822,0.14726028,0.27739727,0.0,0.020547945
50,0.40415704,0.09006929,0.12702079,0.31408775,0.0,0.064665124
51,0.3826291,0.07042254,0.14319248,0.20892018,0.0,0.19483568
52,0.33886257,0.08056872,0.18957347,0.16587678,0.0,0.22511849
53,0.2919708,0.08272506,0.25304136,0.14111923,0.0,0.23114355
54,0.24940048,0.07673861,0.27577937,0.13189448,0.0,0.26618704
55,0.22302158,0.09832134,0.29016787,0.15107913,0.0,0.23741007
56,0.19565217,0.096618354,0.33091787,0.18599033,0.0,0.19082126
57,0.22115384,0.088942304,0.32692307,0.14182693,0.0,0.22115384
58,0.24184783,0.06521739,0.22826087,0.17934783,0.0,0.2853261
59,0.25376883,0.047738694,0.2914573,0.1557789,0.0,0.2512563
60,0.18262807,0.075723834,0.24721603,0.20935412,0.0,0.28507796
61,0.13763441,0.07956989,0.2172043,0.23010753,0.0,0.33548388
62,0.16859123,0.13856813,0.22632794,0.12471132,0.0,0.34180138
63,0.12727273,0.14090909,0.19090909,0.1,0.0,0.4409091
64,0.12009238,0.16628176,0.1847575,0.05773672,0.0,0.47113165
65,0.123667374,0.1748401,0.15991472,0.06396589,0.0,0.47761193
66,0.16824645,0.20379147,0.109004736,0.08056872,0.0,0.43838862
67,0.16336633,0.22524753,0.07920792,0.15346535,0.0,0.37871286
68,0.18796992,0.21303259,0.03508772,0.1904762,0.0,0.3734336
69,0.19767442,0.25581396,0.0,0.23837209,0.0,0.30813953
70,0.17355372,0.18457301,0.0,0.34710744,0.0,0.29476583
71,0.17447917,0.18229167,0.0,0.3515625,0.0,0.29166666
72,0.19651741,0.15422885,0.0,0.36567163,0.0,0.2835821
73,0.2016129,0.14247312,0.0,0.3548387,0.0,0.30107528
74,0.22067039,0.16759777,0.0,0.31564245,0.0,0.29608938
75,0.24855492,0.15317918,0.0057803467,0.29190752,0.0,0.30057803
76,0.17514125,0.16384181,0.033898305,0.29661018,0.0,0.33050847
77,0.18010753,0.13709678,0.048387095,0.27688172,0.008064516,0.34946236
78,0.17195767,0.1005291,0.07936508,0.2857143,0.0026455026,0.35978836
79,0.17333333,0.10666667,0.152,0.224,0.013333334,0.33066666
80,0.11891892,0.1027027,0.1918919,0.16486487,0.037837837,0.3837838
81,0.1004902,0.11029412,0.16911764,0.1764706,0.063725494,0.37990198
82,0.07363421,0.14489311,0.20902613,0.1496437,0.07125891,0.35154393
83,0.08486239,0.16972478,0.23165138,0.19036697,0.059633028,0.26376146
84,0.12354312,0.13986014,0.22843823,0.15850815,0.074592076,0.27505827
85,0.13636364,0.17464115,0.22488038,0.14114833,0.043062203,0.2799043
86,0.17045455,0.18863636,0.22045454,0.12045454,0.045454547,0.25454545
87,0.15982722,0.2224622,0.19438446,0.08639309,0.030237582,0.30669546
88,0.21321961,0.18550107,0.15778251,0.108742006,0.019189766,0.31556502
89,0.2415459,0.17874396,0.13768116,0.13043478,0.02173913,0.28985506
90,0.23902439,0.1487805,0.15365854,0.065853655,0.019512195,0.37317073
91,0.25062034,0.1414392,0.12655087,0.079404466,0.06203474,0.33995038
92,0.19240506,0.13164558,0.11392405,0.11392405,0.09873418,0.34936708
93,0.23716381,0.080684595,0.036674816,0.12469438,0.112469435,0.40831295
94,0.25575447,0.071611255,0.0,0.099744245,0.11764706,0.45524296
95,0.2408377,0.04973822,0.0,0.08900524,0.11518325,0.5052356
96,0.28267476,0.054711245,0.0,0.051671732,0.13069908,0.48024315
97,0.25757575,0.015151516,0.0,0.03939394,0.13636364,0.55151516
98,0.190625,0.015625,0.0,0.065625,0.2,0.528125
99,0.12566845,0.03208556,0.0,0.056149732,0.22459893,0.56149733
100,0.10459184,0.05612245,0.0,0.040816326,0.21938775,0.57908165
101,0.10512821,0.06410257,0.0,0.041025642,0.22820513,0.56153846
102,0.13539192,0.066508316,0.0,0.05463183,0.22327791,0.52019
103,0.1313673,0.04557641,0.0,0.06702413,0.24932976,0.5067024
104,0.1305638,0.011869436,0.0,0.13353115,0.27596438,0.4480712
105,0.16167665,0.038922157,0.0,0.10778443,0.2275449,0.46407187
106,0.1632653,0.0670554,0.014577259,0.08454811,0.25364432,0.41690964
107,0.13988096,0.0952381,0.04761905,0.110119045,0.2470238,0.36011904
108,0.10240964,0.072289154,0.045180723,0.12048193,0.27108434,0.38855422
109,0.086513996,0.06870229,0.050890584,0.20101781,0.259542,0.33333334
110,0.07823961,0.051344745,0.04645477,0.25183374,0.23716381,0.33496332
111,0.07049608,0.06005222,0.054830287,0.28198433,0.23498695,0.29765013
112,0.062200956,0.10047847,0.07416268,0.25358853,0.22727273,0.28229666
113,0.06544503,0.13874346,0.07591623,0.16492146,0.2303665,0.32460734
114,0.11,0.1325,0.0925,0.1525,0.2525,0.26
115,0.11111111,0.1382716,0.09876543,0.12839507,0.27160493,0.25185186
116,0.12846348,0.16624685,0.0906801,0.10075567,0.25692695,0.25692695
117,0.09756097,0.12926829,0.104878046,0.1,0.26341462,0.30487806
118,0.14099216,0.12532637,0.083550915,0.06266318,0.26370758,0.3237598
119,0.1764706,0.101604275,0.07754011,0.05882353,0.30481285,0.28074867
120,0.18421052,0.065789476,0.060526315,0.060526315,0.31842107,0.3105263
121,0.2591623,0.02356021,0.015706806,0.10209424,0.31937173,0.28010473
122,0.22857143,0.023376623,0.0,0.12987013,0.34025973,0.27792206
123,0.18509616,0.043269232,0.0,0.17067307,0.32932693,0.2716346
124,0.17721519,0.06835443,0.0,0.13164558,0.36455697,0.25822785
125,0.1769663,0.058988765,0.0,0.13202247,0.33426967,0.2977528
126,0.2251462,0.04385965,0.0,0.11111111,0.34210527,0.2777778
127,0.2,0.056756757,0.008108108,0.12702702,0.31351352,0.2945946
128,0.20846905,0.042345278,0.03257329,0.15309446,0.257329,0.3061889
129,0.18709677,0.038709678,0.058064517,0.19032258,0.26451612,0.2612903
130,0.178125,0.003125,0.075,0.175,0.3125,0.25625
131,0.2249135,0.0,0.07958478,0.17301038,0.38062283,0.14186852
132,0.22670807,0.0031055901,0.06832298,0.1583851,0.378882,0.16459627
133,0.19637462,0.0,0.06344411,0.10574018,0.49244714,0.14199395
134,0.2276923,0.0,0.015384615,0.10461538,0.47692308,0.17538461
135,0.23278688,0.0,0.0,0.101639345,0.50163937,0.16393442
136,0.25443786,0.0,0.0,0.147929,0.4733728,0.12426036
137,0.28440368,0.0,0.0,0.13761468,0.52905196,0.048929665
138,0.32937685,0.0,0.008902078,0.12462908,0.45103857,0.086053416
139,0.31728044,0.0028328612,0.05382436,0.09065156,0.42776203,0.10764872
140,0.33431953,0.026627218,0.07988165,0.109467454,0.3106509,0.13905326
141,0.2630137,0.030136986,0.10958904,0.09315068,0.39726028,0.10684931
142,0.25735295,0.024509804,0.10539216,0.11029412,0.40931374,0.09313726
143,0.24029127,0.0,0.15776698,0.11893204,0.40291262,0.08009709
144,0.23429951,0.0,0.15458937,0.1352657,0.42512077,0.050724637
145,0.2655889,0.0,0.15011548,0.11778291,0.43418014,0.032332562
146,0.26363635,0.0,0.14318182,0.10909091,0.4409091,0.043181818
147,0.28440368,0.0,0.13990825,0.061926607,0.4587156,0.055045873
148,0.21307506,0.0,0.15738499,0.06295399,0.5084746,0.05811138
149,0.18403548,0.0,0.16851442,0.082039915,0.518847,0.046563193
150,0.17534247,0.0,0.17534247,0.12602739,0.5150685,0.008219178
151,0.20325203,0.0,0.1598916,0.11924119,0.5176152,0.0
152,0.24712643,0.0028735632,0.10344828,0.1637931,0.4827586,0.0
153,0.26708075,0.0,0.071428575,0.19565217,0.46583852,0.0
154,0.3125,0.0,0.04761905,0.16071428,0.47916666,0.0
155,0.3313433,0.0,0.035820894,0.1641791,0.46865672,0.0
156,0.34025973,0.0,0.04935065,0.16363636,0.44675323,0.0
157,0.32551318,0.0,0.035190616,0.11143695,0.5278592,0.0
158,0.2662722,0.0,0.03846154,0.1597633,0.52662724,0.00887574
159,0.28434506,0.0,0.060702875,0.10543131,0.52715653,0.022364218
160,0.3442029,0.0,0.083333336,0.036231883,0.51086956,0.025362318
161,0.36120403,0.0,0.10367893,0.013377926,0.5217391,0.0
162,0.353125,0.0,0.203125,0.0,0.4375,0.00625
163,0.3449367,0.0,0.15506329,0.006329114,0.45886075,0.034810126
164,0.26086956,0.0,0.1884058,0.023188407,0.49275362,0.034782607
165,0.2739726,0.0,0.22191781,0.030136986,0.42739725,0.04657534
166,0.26409495,0.0,0.26409495,0.029673591,0.421365,0.020771513
167,0.24556214,0.0,0.23964497,0.056213018,0.43195266,0.026627218
168,0.18367347,0.0,0.25072888,0.046647232,0.393586,0.12536444
169,0.22253521,0.0,0.23380281,0.028169014,0.3971831,0.118309855
170,0.18156424,0.0,0.21787709,0.061452515,0.4273743,0.11173184
171,0.16666667,0.0,0.20467836,0.0877193,0.40350878,0.1374269
172,0.23428571,0.0,0.17428571,0.071428575,0.4342857,0.08571429
173,0.31578946,0.0,0.13931888,0.061919503,0.4024768,0.08049536
174,0.3184524,0.0,0.104166664,0.077380955,0.4315476,0.06845238
175,0.30860534,0.0,0.05637982,0.0652819,0.48071218,0.089020774
176,0.33429396,0.0,0.074927956,0.04610951,0.45244956,0.09221902
177,0.24347825,0.0,0.072463766,0.017391304,0.5826087,0.08405797
178,0.21630093,0.0,0.015673982,0.018808777,0.6708464,0.07836991
179,0.23529412,0.0,0.0,0.027681662,0.6366782,0.10034602
180,0.26785713,0.0,0.0,0.046428572,0.625,0.060714286
181,0.25,0.0,0.0,0.109375,0.584375,0.05625
182,0.22766571,0.0,0.0,0.12103746,0.65129685,0.0
183,0.2028169,0.025352113,0.0,0.115492955,0.65633804,0.0
184,0.1810089,0.07121662,0.0,0.12462908,0.6231454,0.0
185,0.17073171,0.07317073,0.0,0.07317073,0.68292683,0.0
186,0.16666667,0.09876543,0.0,0.12037037,0.61419755,0.0
187,0.20376176,0.05956113,0.0,0.10971787,0.62695926,0.0
188,0.19877675,0.06727829,0.0,0.08868501,0.6452599,0.0
189,0.24926686,0.055718474,0.0,0.04692082,0.6480938,0.0
190,0.2900302,0.081571,0.0,0.057401814,0.570997,0.0
191,0.30487806,0.11890244,0.0,0.027439024,0.5487805,0.0
192,0.32911393,0.13164558,0.0,0.017721519,0.521519,0.0
193,0.2962963,0.13756613,0.0,0.03968254,0.52645504,0.0
194,0.29508197,0.1693989,0.0,0.030054646,0.5054645,0.0
195,0.29032257,0.2111437,0.0029325513,0.035190616,0.46041057,0.0
196,0.26229507,0.14480874,0.068306014,0.05191257,0.4726776,0.0
197,0.27390182,0.12661499,0.11111111,0.067183465,0.42118862,0.0
198,0.3198198,0.1036036,0.13513513,0.0472973,0.3918919,0.0022522523
199,0.30952382,0.077922076,0.15151516,0.04112554,0.41558442,0.0043290043
200,0.32647058,0.055882353,0.19411765,0.055882353,0.35,0.01764706
201,0.3589109,0.00990099,0.19059406,0.034653466,0.39356434,0.012376238
202,0.31219512,0.009756098,0.20243903,0.046341464,0.40731707,0.021951219
203,0.33333334,0.006993007,0.18648018,0.08624709,0.37762237,0.0093240095
204,0.32173914,0.032608695,0.1826087,0.07608695,0.3869565,0.0
205,0.37559807,0.033492822,0.20095694,0.040669855,0.3492823,0.0
206,0.34633029,0.050458714,0.1880734,0.027522936,0.38761467,0.0
207,0.37995338,0.044289045,0.17016317,0.018648019,0.38694638,0.0
208,0.41388175,0.041131105,0.13624679,0.002570694,0.40616965,0.0
209,0.4489796,0.038265307,0.08418367,0.0,0.42857143,0.0
210,0.46373057,0.06994819,0.08031088,0.0,0.38601035,0.0
211,0.4831169,0.04155844,0.07532468,0.0,0.4,0.0
212,0.5037975,0.053164557,0.035443038,0.0,0.40759495,0.0
213,0.5261628,0.093023255,0.0,0.0,0.38081396,0.0
214,0.57098764,0.07098766,0.0,0.0,0.3580247,0.0
215,0.5968254,0.073015876,0.0,0.0,0.33015874,0.0
216,0.5906433,0.038011696,0.0,0.0,0.37134504,0.0
217,0.55714285,0.05142857,0.0,0.0,0.39142856,0.0
218,0.54594594,0.024324324,0.027027028,0.0,0.4027027,0.0
219,0.5655527,0.0,0.079691514,0.0,0.3547558,0.0
220,0.5,0.0,0.08857143,0.0,0.41142857,0.0
221,0.48710603,0.0057306592,0.08022922,0.0114613185,0.41547278,0.0
222,0.40816328,0.0,0.12755102,0.073979594,0.39030612,0.0
223,0.38395417,0.0,0.13467048,0.07736389,0.40401146,0.0
224,0.3933518,0.0,0.13850416,0.09418283,0.3739612,0.0
225,0.4111675,0.0,0.18527919,0.07106599,0.32233503,0.010152284
226,0.4009662,0.0,0.21256039,0.062801935,0.30193236,0.02173913
227,0.39119804,0.0073349634,0.19804402,0.029339854,0.32762837,0.04645477
228,0.35170603,0.023622047,0.24146982,0.044619422,0.2887139,0.049868766
229,0.27513227,0.05026455,0.28042328,0.04232804,0.26190478,0.08994709
230,0.2725,0.04,0.26,0.04,0.265,0.1225
231,0.26968974,0.057279237,0.2673031,0.09546539,0.20763724,0.102625296
232,0.22572815,0.053398058,0.33252427,0.1092233,0.16747573,0.11165048
233,0.16589862,0.025345622,0.42857143,0.124423966,0.14285715,0.11290322
234,0.15538847,0.015037594,0.47619048,0.05764411,0.12531328,0.17042607
235,0.16706444,0.00477327,0.55608594,0.028639618,0.10739857,0.13603818
236,0.1400862,0.0,0.5258621,0.04525862,0.073275864,0.21551724
237,0.16302186,0.0,0.5586481,0.033797216,0.071570575,0.17296223
238,0.11753372,0.0,0.61078995,0.02504817,0.053949904,0.19267823
239,0.11741683,0.0,0.63013697,0.009784736,0.043052837,0.19960861
240,0.10515873,0.0,0.6527778,0.005952381,0.055555556,0.18055555
241,0.11029412,0.0,0.6378676,0.009191177,0.0625,0.18014705
242,0.12637363,0.0,0.6556777,0.00915751,0.053113554,0.15567766
243,0.121442124,0.0,0.5996205,0.0018975332,0.0455408,0.23149905
244,0.11774744,0.0,0.612628,0.0085324235,0.030716723,0.23037542
245,0.11167513,0.0,0.6023689,0.010152284,0.016920473,0.25888324
246,0.112262525,0.0,0.6217617,0.018998273,0.006908463,0.24006909
247,0.14208633,0.0,0.66007197,0.01618705,0.007194245,0.17446043
248,0.15815486,0.0,0.6227348,0.009884679,0.0,0.2092257
249,0.1878453,0.0,0.56491715,0.01519337,0.0,0.2320442
250,0.5614035,0.10526316,0.23684211,0.096491225,0.0,0.0
251,0.53271025,0.12149533,0.26168224,0.08411215,0.0,0.0
252,0.5436893,0.1553398,0.22330096,0.0776699,0.0,0.0
253,0.51304346,0.28695652,0.13043478,0.069565214,0.0,0.0
254,0.5555556,0.36507937,0.007936508,0.071428575,0.0,0.0
255,0.44827586,0.39655173,0.0,0.15517241,0.0,0.0
256,0.42028984,0.39855072,0.0,0.18115942,0.0,0.0
257,0.44347826,0.37391305,0.0,0.14782609,0.0,0.034782607
258,0.48965517,0.2551724,0.0,0.16551724,0.0,0.089655176
259,0.50666666,0.27333334,0.0,0.10666667,0.0,0.11333334
260,0.5033557,0.15436241,0.0,0.16107382,0.020134227,0.16107382
261,0.37988827,0.30167598,0.0,0.12290503,0.02793296,0.16759777
262,0.36597937,0.32474226,0.0,0.09793814,0.0154639175,0.19587629
263,0.25663716,0.36283186,0.0,0.11061947,0.0,0.2699115
264,0.2648402,0.38356164,0.0,0.12328767,0.0,0.2283105
265,0.2638889,0.4027778,0.0046296297,0.13425925,0.0,0.19444445
266,0.22317597,0.35622317,0.025751073,0.24034335,0.0,0.15450644
267,0.24390244,0.2195122,0.07317073,0.31300813,0.0,0.15040651
268,0.23371647,0.19923371,0.099616855,0.27203065,0.0,0.1954023
269,0.19678715,0.20883535,0.10040161,0.28915662,0.0,0.20481928
270,0.17768595,0.25619835,0.12809917,0.28512397,0.0,0.15289256
271,0.118705034,0.2877698,0.10071942,0.28057554,0.0,0.21223022
272,0.08835341,0.2570281,0.12851405,0.20481928,0.0,0.32128513
273,0.073076926,0.34615386,0.10769231,0.17692308,0.0,0.29615384
274,0.06390978,0.34962407,0.116541356,0.18421052,0.0,0.2857143
275,0.055776894,0.40239045,0.11553785,0.21115538,0.0,0.21513945
276,0.0785124,0.40495867,0.1446281,0.1322314,0.0,0.23966943
277,0.059760958,0.45816734,0.15139443,0.09561753,0.0,0.23505977
278,0.030075189,0.4473684,0.15037593,0.13157895,0.0,0.24060151
279,0.031141868,0.48442906,0.11072665,0.09342561,0.0,0.2802768
280,0.017361112,0.4201389,0.1388889,0.125,0.0,0.2986111
281,0.00931677,0.41925466,0.14906833,0.1552795,0.0,0.26708075
282,0.024137931,0.44827586,0.14827587,0.2,0.0,0.17931035
283,0.016233766,0.48376623,0.13636364,0.18506494,0.0,0.17857143
284,0.016438356,0.42739725,0.12876712,0.2109589,0.0,0.21643835
285,0.05,0.44411764,0.14117648,0.16470589,0.0,0.2
286,0.09090909,0.42319748,0.15360501,0.14733543,0.0,0.18495297
287,0.14325842,0.3960674,0.11235955,0.14606741,0.0,0.20224719
288,0.10299003,0.38870433,0.10631229,0.13953489,0.0,0.26245847
289,0.10144927,0.41449276,0.07536232,0.12173913,0.0,0.28695652
290,0.11111111,0.42857143,0.052910052,0.11111111,0.0,0.2962963
291,0.0862069,0.46551725,0.057471264,0.11494253,0.0,0.27586207
292,0.08839779,0.48066297,0.05801105,0.10497238,0.0,0.2679558
293,0.15957446,0.38297874,0.095744684,0.122340426,0.0,0.2393617
294,0.15343915,0.34126985,0.1904762,0.12169312,0.0,0.19312169
295,0.12793733,0.38903394,0.20104438,0.11227154,0.0,0.1697128
296,0.114795916,0.38265306,0.2780612,0.096938774,0.0,0.12755102
297,0.16981132,0.3443396,0.30660376,0.0990566,0.0,0.08018868
298,0.17307693,0.32692307,0.33894232,0.07692308,0.0,0.084134616
299,0.1919192,0.3131313,0.3560606,0.08080808,0.0,0.058080807
300,0.22025317,0.32405064,0.33164558,0.08101266,0.0,0.043037973
301,0.24050634,0.2734177,0.35949367,0.06835443,0.0,0.05822785
302,0.22572179,0.27296588,0.4120735,0.060367454,0.0,0.028871391
303,0.2093596,0.27093595,0.3916256,0.098522164,0.0,0.02955665
304,0.21963824,0.2248062,0.40568477,0.10594315,0.0,0.043927647
305,0.23255815,0.23772609,0.39534885,0.087855294,0.0,0.046511628
306,0.22864321,0.18341708,0.36934674,0.13819095,0.0,0.08040201
307,0.2303207,0.16034986,0.34110788,0.1516035,0.0,0.116618074
308,0.17191978,0.20057307,0.29512894,0.1260745,0.0,0.20630373
309,0.21038961,0.15324676,0.24935065,0.13246754,0.0,0.25454545
310,0.31132075,0.12264151,0.20125785,0.13836478,0.0,0.2264151
311,0.29807693,0.12820514,0.16025642,0.13461539,0.0,0.27884614
312,0.35410765,0.12181303,0.08215298,0.12181303,0.0,0.3201133
313,0.34530386,0.08839779,0.063535914,0.12707183,0.0,0.3756906
314,0.41137123,0.10367893,0.026755853,0.110367894,0.0,0.3478261
315,0.35925925,0.074074075,0.05185185,0.15925926,0.0,0.35555556
316,0.3846154,0.08361204,0.053511705,0.13712375,0.0,0.3411371
317,0.3492647,0.07720588,0.09191176,0.18014705,0.0,0.30147058
